x,y,group
0.41,0.84,group_3
0.88,2.64,group_2
0.8,4.21,group_2
0.25,3.25,group_1
0.37,-0.83,group_1
0.99,4.54,group_2
0.39,-0.84,group_1
0.87,4.57,group_3
0.35,-0.27,group_1
0.4,-1.22,group_3
0.13,-2.49,group_1
0.43,-2.97,group_3
0.71,3.52,group_3
0.09,2.2,group_1
0.05,-0.54,group_1
0.8,4.48,group_2
0.72,0.26,group_2
-0.16,2.15,group_1
0.37,2.43,group_3
0.53,2.04,group_3
0.5,0.42,group_1
1.03,2.3,group_2
0.73,1.46,group_3
0.32,3.38,group_1
0.24,3.7,group_3
1.16,4.57,group_2
1,6.64,group_2
0.67,2.29,group_3
0.62,3.78,group_3
0.48,4.22,group_3
0.97,9.64,group_2
0.83,4.66,group_2
0.68,1.09,group_3
0.29,-0.03,group_3
0.14,0.5,group_1
-0.07,-0.98,group_1
0.17,-0.11,group_1
0.64,3.71,group_3
0.22,1.01,group_1
0.45,-0.31,group_3
0.14,1.18,group_1
-0.14,-1.6,group_1
1.13,7.75,group_2
0.72,0.4,group_3
-0.05,-0.2,group_1
0.83,5.49,group_3
-0.06,0.24,group_1
1.07,2.86,group_2
0.57,1.99,group_3
0.72,7.42,group_2
0.97,2.39,group_3
0.41,-1.16,group_1
0.2,2.53,group_1
0.54,-2.27,group_3
0.42,2.27,group_1
0.29,0.24,group_1
0.41,1.87,group_3
0.44,0.18,group_1
0.9,6.56,group_2
0.12,0.15,group_1
0.2,0.76,group_1
0.69,2.77,group_3
0.8,2.45,group_2
0.91,3.45,group_2
0.11,-1.42,group_1
0.78,4.52,group_3
0.31,-3.23,group_3
0.87,2.13,group_2
0.92,0.84,group_3
-0.12,-2.55,group_1
0.32,1.78,group_1
0.36,4.3,group_1
0.75,4.1,group_3
0.82,0.78,group_2
0.43,0.47,group_3
0.23,2.19,group_1
0.54,3.36,group_3
0.74,1.48,group_3
0.63,-1.55,group_3
0.33,-4.27,group_3
0.44,0.77,group_1
0.94,6.04,group_2
0.17,2.8,group_1
0.2,-0.68,group_1
0.02,1.93,group_1
0.04,0.58,group_1
0.03,-2.76,group_1
0.72,4.82,group_3
0.55,-0.32,group_3
0.47,3.83,group_3
0.98,2.4,group_2
0.76,2.23,group_2
0.65,0.81,group_3
0.03,1.15,group_1
1.14,2.69,group_2
0.92,5.83,group_2
0.18,-1.07,group_1
0.9,3.64,group_2
0.67,-1.03,group_3
0.66,4.01,group_2
0.91,2.69,group_2
0.74,3.01,group_3
0.03,0.07,group_1
0.36,2.23,group_3
0.13,0.87,group_1
0.82,4.42,group_2
0.31,2.56,group_3
0.85,4.14,group_2
0.12,-0.46,group_1
0.19,0.1,group_1
0.8,6.2,group_2
0.21,2.65,group_1
0.14,-1.76,group_1
1.16,8.43,group_2
0.7,3.61,group_2
0.01,1.05,group_1
0.61,0.86,group_3
0.45,-0.31,group_3
0.81,3.66,group_2
0.85,6.19,group_2
