country,happinessIndex,population
Finland,7.842,5554960
Denmark,7.62,5834950
Switzerland,7.571,8773637
Iceland,7.554,345393
Netherlands,7.464,17211447
Norway,7.392,5511370
Sweden,7.363,10218971
Luxembourg,7.324,642371
New Zealand,7.277,4898203
Austria,7.268,9066710
Australia,7.183,26068792
Israel,7.157,8922892
Germany,7.155,83883596
Canada,7.103,38388419
Ireland,7.085,5020199
Costa Rica,7.069,5182354
United Kingdom,7.064,68497907
Czech Republic,6.965,10736784
United States,6.951,334805269
Belgium,6.834,11668278
France,6.69,65584518
Bahrain,6.647,1783983
Malta,6.602,444033
Taiwan,6.584,23888595
United Arab Emirates,6.561,10081785
Saudi Arabia,6.494,35844909
Spain,6.491,46719142
Italy,6.483,60262770
Slovenia,6.461,2078034
Guatemala,6.435,18584039
Uruguay,6.431,3496016
Singapore,6.377,5943546
Slovakia,6.331,5460193
Brazil,6.33,215353593
Mexico,6.317,131562772
Jamaica,6.309,2985094
Lithuania,6.255,2661708
Cyprus,6.223,1223387
Estonia,6.189,1321910
Panama,6.18,4446964
Uzbekistan,6.179,34382084
Chile,6.172,19250195
Poland,6.166,37739785
Kazakhstan,6.152,19205043
Romania,6.14,19031335
Kuwait,6.106,4380326
Serbia,6.078,8653016
El Salvador,6.061,6550389
Mauritius,6.049,1274727
Latvia,6.032,1848837
Colombia,6.012,51512762
Hungary,5.992,9606259
Thailand,5.985,70078203
Nicaragua,5.972,6779100
Japan,5.94,125584838
Portugal,5.929,10140570
Argentina,5.929,46010234
Honduras,5.919,10221247
Croatia,5.882,4059286
Philippines,5.88,112508994
South Korea,5.845,51329899
Peru,5.84,33684208
Bosnia And Herzegovina,5.813,3249317
Moldova,5.766,4013171
Ecuador,5.764,18113361
Kyrgyzstan,5.744,6728271
Greece,5.723,10316637
Bolivia,5.716,11992656
Mongolia,5.677,3378078
Paraguay,5.653,7305843
Montenegro,5.581,627950
Dominican Republic,5.545,11056370
Belarus,5.534,9432800
Hong Kong,5.477,7604299
Russia,5.477,145805947
Tajikistan,5.466,9957464
Vietnam,5.411,98953541
Libya,5.41,7040745
Malaysia,5.384,33181072
Indonesia,5.345,279134505
Republic of the Congo,5.342,5797805
China,5.339,1448471400
Ivory Coast,5.306,27742298
Armenia,5.283,2971966
Nepal,5.269,30225582
Bulgaria,5.266,6844597
Maldives,5.198,540985
Azerbaijan,5.171,10300205
Cameroon,5.142,27911548
Senegal,5.132,17653671
Albania,5.117,2866374
North Macedonia,5.101,2081304
Ghana,5.088,32395450
Niger,5.074,26083660
Turkmenistan,5.066,6201943
Gambia,5.051,2558482
Benin,5.045,12784726
Laos,5.03,7481023
Bangladesh,5.025,167885689
Guinea,4.984,13865691
South Africa,4.956,60756135
Turkey,4.948,85561976
Pakistan,4.934,229488994
Morocco,4.918,37772756
Venezuela,4.892,29266991
Georgia,4.891,3968738
Algeria,4.887,45350148
Ukraine,4.875,43192122
Iraq,4.854,42164965
Gabon,4.852,2331533
Burkina Faso,4.834,22102838
Cambodia,4.83,17168639
Mozambique,4.794,33089461
Nigeria,4.759,216746934
Mali,4.723,21473764
Iran,4.721,86022837
Uganda,4.636,48432863
Liberia,4.625,5305117
Kenya,4.607,56215221
Tunisia,4.596,12046656
Lebanon,4.584,6684849
Namibia,4.574,2633874
Myanmar,4.426,55227143
Jordan,4.395,10300869
Chad,4.355,17413580
Sri Lanka,4.325,21575842
Eswatini,4.308,1184817
Comoros,4.289,907419
Egypt,4.283,106156692
Ethiopia,4.275,120812698
Mauritania,4.227,4901981
Madagascar,4.208,29178077
Togo,4.107,8680837
Zambia,4.073,19470234
Sierra Leone,3.849,8306436
India,3.819,1406631776
Burundi,3.775,12624840
Yemen,3.658,31154867
Tanzania,3.623,63298550
Haiti,3.615,11680283
Malawi,3.6,20180839
Lesotho,3.512,2175699
Botswana,3.467,2441162
Rwanda,3.415,13600464
Zimbabwe,3.145,15331428
Afghanistan,2.523,40754388
